Wed Nov 30 15:28:16 2022    profile/example_Satori_batch_2_nodes10

         7792 function calls (7708 primitive calls) in 123.059 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       32    0.000    0.000    0.000    0.000 random.py:343(choice)
        4    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
       38    0.000    0.000    0.000    0.000 argparse.py:1453(_add_action)
        6    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
        2    0.000    0.000    0.000    0.000 signal.py:67(pthread_sigmask)
        6    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
       38    0.000    0.000    0.000    0.000 argparse.py:591(_format_args)
       14    0.000    0.000    0.000    0.000 argparse.py:1917(take_action)
       17    0.000    0.000    0.000    0.000 pathlib.py:64(parse_parts)
        2    0.000    0.000    0.000    0.000 spawn.py:150(get_preparation_data)
        4    0.000    0.000    0.000    0.000 tempfile.py:152(<listcomp>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        7    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        4    0.000    0.000    0.000    0.000 synchronize.py:84(_cleanup)
       38    0.000    0.000    0.000    0.000 argparse.py:1642(_add_action)
